Time,X1,X2,Label
0,1.0786441147225299,-0.811780294746809,0
1,-1.978980347945239,0.7116770897356097,0
2,-1.351901184528495,1.371075159383166,0
3,0.49870422368683315,-5.273609414689018,0
4,1.3826990746648458,1.7682684875162198,0
5,1.1237658049525026,1.2646851632204978,0
6,-2.062764273347371,-6.129708344556578,0
7,-0.6010583412061485,2.661624030129696,0
8,0.7511100852657866,2.3268048677714432,0
9,-1.2203688092177478,2.803861821858779,0
10,-0.5584894215047943,2.1021709177519208,0
11,0.8742441472906421,6.1687190256632265,0
12,0.48411979473739647,0.03256192122985759,0
13,-0.9403926606665589,2.474921967718366,0
14,0.2791182912292195,-1.6517182336923732,0
15,0.8245416172718563,-3.011320931525874,0
16,-0.4653052147465231,-4.395046500776731,0
17,0.031877285210793804,-1.7959127277485494,0
18,0.8379477674547555,6.7886330722337185,0
19,-0.9113318160992817,-4.83553056230998,0
20,0.7359268195046097,0.9287189517673665,0
21,0.14108387976060255,-3.295763526425999,0
22,0.9551644132575305,-0.5498991816139835,0
23,0.26587143602943275,4.303143821311077,0
24,1.2685337926046372,-1.365367729384457,0
25,0.07675234144245213,-5.447323476333461,0
26,-1.164520816016578,-4.862905294859707,0
27,-1.361045774667343,6.172204391849698,0
28,1.2422073154812703,-9.04176429471924,0
29,2.9843146361094517,-8.528229005978963,0
30,1.6841089836938008,-2.450164797305549,0
31,0.5860025716047161,-3.2253274498232214,0
32,0.6396185616744599,-4.047230398907623,0
33,-1.0943861179385683,-2.7255928036606987,0
34,-1.279494088196858,-3.6504613194788704,0
35,1.5966977263262276,-1.5200108200561782,0
36,2.279524933537376,11.757967421358803,0
37,1.184207614957803,-4.648963737747712,0
38,-0.3165165509755058,3.4889928755367827,0
39,-0.3949317120855025,-7.952636809005468,0
40,-0.6418536569896922,-2.351384965150363,0
41,0.5752450673412812,5.370307796738137,0
42,1.2250168068010616,-2.6269151837697353,0
43,0.655579606428672,4.86213904274179,0
44,-1.6820312731105858,11.96533462920588,0
45,-0.9181833203754386,-5.227093139167074,0
46,0.19334194375521188,5.588416519149437,0
47,-0.03758900637405227,3.8418541527007255,0
48,-0.04648870953407977,1.6507919839981786,0
49,0.18442690519235863,-11.34200920281415,0
50,-0.5987236360454045,2.3859354657953964,0
51,-0.534656119593209,-9.86039300845275,0
52,0.7553194800591907,-5.449953756571972,0
53,0.16303596887777438,-3.756674829752008,0
54,0.7050288158507311,0.9034852470565478,0
55,-0.1378872722809198,-6.596189243062261,0
56,-0.9402179973301187,0.2723110110758717,0
57,-0.08121295524172545,-2.4125788151058076,0
58,1.8406696260430127,1.1369600499688786,0
59,0.8251983904285947,-5.189305644920312,0
60,-1.6369378854795635,-5.596272336922272,0
61,0.845620209137969,4.7917787786742,0
